u_bin,g_bin,cycles,difference_mean,theory_mean,wing_gap_mean
"(0.377, 0.729]","(0.997, 1.181]",28,0.25487480210626473,0.26817231510957734,0.1135866414901706
"(0.377, 0.729]","(1.181, 1.263]",35,0.285188220674323,0.3009700912459575,0.20290845499059507
"(0.377, 0.729]","(1.263, 1.784]",47,0.2654732849867889,0.3287929093216875,0.29248806635398006
"(0.729, 0.838]","(0.997, 1.181]",43,0.23049623275844486,0.23403244784783678,0.11352210630129239
"(0.729, 0.838]","(1.181, 1.263]",32,0.23522977756493965,0.2723892440237472,0.1958810890975619
"(0.729, 0.838]","(1.263, 1.784]",34,0.30490400607623813,0.32830729101520917,0.30089079332706653
"(0.838, 0.954]","(0.997, 1.181]",43,0.16923111460007614,0.17693713016345883,0.11141076197996329
"(0.838, 0.954]","(1.181, 1.263]",31,0.22273059577213888,0.24128042744699588,0.19752592689468776
"(0.838, 0.954]","(1.263, 1.784]",35,0.30675817337582156,0.29682126522648555,0.2942018438389426
"(0.954, 1.099]","(0.997, 1.181]",30,0.0866593569268865,0.0833125390846059,0.11368617280010665
"(0.954, 1.099]","(1.181, 1.263]",44,0.12720193737232113,0.16715345316136776,0.20536549823247421
"(0.954, 1.099]","(1.263, 1.784]",35,0.20526655364449695,0.243899624058364,0.28804633700102716
"(1.099, 2.982]","(0.997, 1.181]",38,-0.2376629896121952,-0.3191243501143043,0.11762229009971559
"(1.099, 2.982]","(1.181, 1.263]",40,-0.2958628996645813,-0.24839284055836736,0.20187732452572155
"(1.099, 2.982]","(1.263, 1.784]",31,-0.2833889446832171,-0.18075593518555227,0.2879318334334417
