rule,ticker,entry_year,n,mean,p05,p10,p25,p50,p75,p90,p95,share_below_0.95,share_above_1
section 3,ALL,2007,16,0.9641180344413269,0.919854417710677,0.9424389425346082,0.9553544895871864,0.9681582472353957,0.9793512822934644,0.9861454355437734,0.9903416504076331,0.125,0.0625
section 3,ALL,2008,31,0.9811804555493717,0.9436093240039631,0.9634426026503113,0.9811008789138609,0.9869316032244554,0.9902745592019666,0.991872072131204,0.9936844019025498,0.0967741935483871,0.03225806451612903
section 3,ALL,2009,48,1.004476335772622,0.9751386642285671,0.9808568875309747,0.9855339579738889,0.994866863770026,1.0142948779572867,1.0464243228716013,1.0570807211170707,0.0,0.3958333333333333
section 3,ALL,2010,45,1.0474971363599113,0.9942257230833026,0.9960816565426645,1.000417084806486,1.0094016884327766,1.0617161484670083,1.1524566176628415,1.210639787110938,0.0,0.7555555555555555
section 3,ALL,2011,44,1.0354488168626435,0.9901274531350245,0.9937304838465651,0.9985562522608723,1.0015046868337758,1.0081140702264029,1.1305185267744202,1.1792042582849782,0.0,0.6136363636363636
section 3,ALL,2012,48,1.016208423829348,0.9924931258635094,0.9933829996431198,0.9964905864503855,1.0012364186663691,1.0106456716436418,1.0296404741832772,1.035363227316617,0.0,0.5208333333333334
section 3,ALL,2013,48,1.0153812852550625,0.9949053110276234,0.995427839602557,0.9978646867756111,1.0010300668015668,1.0319682478246528,1.05609720500523,1.061595855373997,0.0,0.6041666666666666
section 3,ALL,2014,48,1.0033406107019869,0.9863024866708396,0.9906349951387252,0.995525729885091,1.0008978653880014,1.0089442179727528,1.0188201954030707,1.0294350047978937,0.0,0.5625
section 3,ALL,2015,48,1.0023620102166215,0.9799319459261491,0.9821312948092341,0.9956118291633422,1.001676762360308,1.0103514069971717,1.0170249925659114,1.0216114629460344,0.0,0.5833333333333334
section 3,ALL,2016,48,1.011982012056125,0.995416852109056,0.9966788775554435,0.9990503341850658,1.0130380445876765,1.0191181382870727,1.0281403252381323,1.0403777107205825,0.0,0.6666666666666666
section 3,ALL,2017,45,1.0381396414782629,0.9952543490275464,0.9958516472675827,0.9979588551778557,1.0385607958298324,1.0554476849965047,1.0787664503354777,1.0856337400368121,0.0,0.7333333333333333
section 3,ALL,2018,48,1.0139430507668152,0.9898405144509128,0.9930923938644705,0.9946185509203418,1.007332967079559,1.0339221763204478,1.046600138526043,1.0602257150005001,0.020833333333333332,0.5416666666666666
section 3,ALL,2019,48,1.0161494810724314,0.9896155065190229,0.9908803212455675,0.9951886620918104,1.0062959413348924,1.0244310976982725,1.0640274188263652,1.083239005268072,0.0,0.5625
section 3,ALL,2020,48,0.9981840615610379,0.9824448963181017,0.9894254423435171,0.9942963046811544,0.9976989235598184,0.9993822137641128,1.0146255832754392,1.0216803216518135,0.0,0.22916666666666666
section 3,ALL,2021,48,0.9936971616506987,0.9388005916058256,0.9880855828584099,0.9950642344664999,0.9982325459114636,0.999779804028404,1.01030875518164,1.0255397138603182,0.0625,0.22916666666666666
section 3,ALL,2022,48,0.9923898480630369,0.9640992513138773,0.9788875838685173,0.991884324903751,0.9976289381349033,0.9993696842241508,1.0007664567825367,1.001656361416771,0.020833333333333332,0.16666666666666666
section 3,ALL,2023,48,0.9999975844320516,0.9686339221918076,0.981074238032587,0.9977036775594684,1.0005646879779244,1.0070567310605818,1.0204207819732747,1.0224121623335674,0.020833333333333332,0.5416666666666666
section 3,ALL,2024,48,0.9837361474705896,0.8987705183327029,0.9498032221456673,0.986051662050303,0.9983649260393253,1.001263896308107,1.0060772006519676,1.0083147735077573,0.10416666666666667,0.2916666666666667
section 3,ALL,2025,28,0.9822343668001976,0.9048072041690203,0.9078754944283867,0.986875862682897,0.997000399284034,0.9991651349559737,1.0010967452111812,1.0017263281780469,0.17857142857142858,0.17857142857142858
section 3,ALL,ALL,833,1.0074995828390108,0.9718909172597239,0.9843230709256908,0.9948299323689259,0.9992808021580312,1.0129948931304777,1.043014533852285,1.0631714618917933,0.025210084033613446,0.460984393757503
section 3,GLD,2008,7,0.9877755537095165,0.9836909399567252,0.9842718017757391,0.9857115150020331,0.9869316032244554,0.9902126465821044,0.9919377549483555,0.9922383131922645,0.0,0.0
section 3,GLD,2009,12,0.9868729671653108,0.9794716472904189,0.9836584763248918,0.984262426911839,0.9852333878612108,0.9890785371880676,0.9956275937965159,0.9965124314697001,0.0,0.0
section 3,GLD,2010,12,0.9994429189705389,0.9928620660206249,0.9942025727115776,0.9951583040946602,0.9983144998586035,1.0004635646052882,1.001583357349077,1.01072772098899,0.0,0.3333333333333333
section 3,GLD,2011,12,1.0009024836145828,0.9943105257802174,0.9954135631589176,0.9974571604783695,0.9993826334960306,1.0030282029048303,1.0079754886746426,1.0119833709260964,0.0,0.3333333333333333
section 3,GLD,2012,12,0.996708217211488,0.9893527467314687,0.9925022608877629,0.9952957770178292,0.9964177428838105,0.998034950235346,1.000756324424649,1.0049519240111449,0.0,0.16666666666666666
section 3,GLD,2013,12,0.9990442875174006,0.9952101634719217,0.9955462669816201,0.9959519124768035,0.9989441688418772,1.0003231205349756,1.00388409460018,1.0050548375338626,0.0,0.3333333333333333
section 3,GLD,2014,12,0.9985671556058735,0.9946932890049642,0.9949625278731036,0.9961763726544226,0.9995798365414205,1.0003919988170056,1.0012441178666862,1.0014483836639372,0.0,0.4166666666666667
section 3,GLD,2015,12,0.9973604316862863,0.9950797516446825,0.9953114153978061,0.9956118291633422,0.9963467293529822,0.9997155438465664,1.0002015960603723,1.0003142138301286,0.0,0.25
section 3,GLD,2016,12,0.997705248976097,0.995633030937185,0.9961525502097054,0.9966951829242058,0.9975989330222187,0.9989624999016464,0.9997050900940653,0.9997697132814002,0.0,0.0
section 3,GLD,2017,12,0.9958881806292018,0.9943117325603039,0.9945435233076428,0.9954950984037993,0.99612783895377,0.9963490579885467,0.996464617822069,0.9971409524002366,0.0,0.0
section 3,GLD,2018,12,0.9948629414498161,0.99306220870858,0.9939909788693112,0.994223284025046,0.9945608016101514,0.9954524753418157,0.9961800029918946,0.997039910077092,0.0,0.0
section 3,GLD,2019,12,0.9960021036993548,0.9902165140001361,0.9910798788705386,0.9951886620918104,0.9969315480681407,0.9979932253511556,0.9982755403248057,0.9985719896777022,0.0,0.0
section 3,GLD,2020,12,0.9975726117547378,0.9955185386109924,0.996579858774249,0.9971275707159396,0.997628612176171,0.9979617535164749,0.9986870862921746,0.9995130627947844,0.0,0.08333333333333333
section 3,GLD,2021,12,0.9981108659373804,0.9961193708618119,0.997009854576629,0.9970891916811051,0.9985010491601595,0.9988381656166493,0.9993181051099163,0.9996145956836716,0.0,0.0
section 3,GLD,2022,12,0.9986260996554787,0.9971811311060181,0.9972580224307193,0.997928057097002,0.9987954061682314,0.999302757062889,0.9994184472502194,0.9998656784512633,0.0,0.08333333333333333
section 3,GLD,2023,12,0.9987068329597357,0.9971783902596576,0.9973017243196384,0.9977517870500611,0.9986332596212633,0.9996104730949888,1.0001020312353004,1.0003366193576633,0.0,0.16666666666666666
