rule,ticker,entry_year,never_settles,size_n,size_mean,size_p05,size_p10,size_p25,size_p50,size_p75,size_p90,size_p95,contracts_n,contracts_mean,contracts_p05,contracts_p10,contracts_p25,contracts_p50,contracts_p75,contracts_p90,contracts_p95
section 3,ALL,2007,0,16,29811.768675942607,15754.696957424105,18227.166501742613,22199.27215774094,29722.311491942055,35075.18739525679,44962.71090574816,46908.91707057689,16,417.3125,310.5,345.5,386.25,393.5,450.5,547.5,557.5
section 3,ALL,2008,0,31,44009.430773323686,15779.112817659996,21134.890398366475,31123.080877273882,44157.044735331205,57547.80743073567,71614.34102129027,74589.87247184038,31,484.83870967741933,262.5,308.0,393.0,508.0,577.5,636.0,647.0
section 3,ALL,2009,0,48,19639.98430404136,6557.775660235157,7277.508391503136,8247.043588734075,17183.63816040626,28760.6600729453,34761.40309760169,40713.09000037162,48,458.5416666666667,264.1,273.2,325.5,439.0,576.5,644.0,769.1499999999999
section 3,ALL,2010,0,45,15990.640780665035,3715.3522909717276,3865.8925630325025,6839.116472814293,13335.21432163324,26001.595631652723,33343.1712087733,37349.888714695524,45,642.2888888888889,329.4,336.6,460.0,597.0,787.0,989.0,1144.3999999999996
section 3,ALL,2011,0,44,24271.850034914925,4628.424897933624,7566.343033832947,16331.619276155281,22144.14871135001,27941.86609288443,44005.40628193684,46693.202330400745,44,833.4545454545455,280.45,412.9,629.75,741.0,944.5,1288.4,1378.3500000000001
section 3,ALL,2012,0,48,18174.625202373532,7457.15846162269,8551.14169022779,11191.379380636376,15310.87461682032,22595.292619591033,32471.776831439125,36426.10547965611,48,786.4166666666666,393.05,434.4,571.25,775.0,967.5,1123.0000000000002,1335.9499999999998
section 3,ALL,2013,0,48,16354.564298684263,6772.31765739386,7422.567345552163,8413.951416451948,10533.307359584762,17588.14589858816,39039.66241327298,46389.0101293773,48,670.5833333333334,379.7,411.0,474.5,624.0,849.25,961.6000000000001,1051.15
section 3,ALL,2014,0,48,12717.714767259691,4608.146227001882,5135.161973384544,7328.245331389045,10233.608104696217,17377.958646068855,23796.114696690056,24448.74328474117,48,645.3125,423.05,440.9,526.5,633.5,736.75,845.0000000000002,918.0
section 3,ALL,2015,0,48,10813.570379399525,4255.147558293775,4705.978479383234,5991.306033946657,8711.944881680609,15138.645095978645,19792.746097710624,22547.805426813935,48,573.7916666666666,312.75,340.7,429.75,587.5,694.25,806.3000000000001,825.95
section 3,ALL,2016,0,48,9801.219100062399,3595.8621118420583,4300.372094199132,5011.872336272725,5991.108648016845,10403.160285529422,23585.889296834463,24547.089156850336,48,509.7708333333333,316.8,328.3,407.25,458.5,607.0,696.8000000000003,812.65
section 3,ALL,2017,0,45,6822.461217534651,2535.562743586742,2710.883503331194,3162.2776601683795,3981.0717055349733,10232.929922807536,16574.45460337812,18453.25591338077,45,471.5777777777778,264.2,296.0,338.0,393.0,561.0,752.6000000000001,882.1999999999999
section 3,ALL,2018,0,48,10507.551063537356,2744.8982592710636,3094.2410731073737,4015.645683824687,6167.584652772755,13073.329479170803,17238.76119635123,18973.48043360197,48,556.125,346.9,362.8,397.0,472.5,647.0,882.2000000000005,1005.85
section 3,ALL,2019,0,48,10181.174102090541,2669.441162033884,3576.8937102157606,4265.795188015925,6460.39376525517,13765.717385973818,21001.167504074238,30170.54963654707,48,518.3125,311.75,353.4,405.5,460.5,618.0,758.0000000000002,836.8
section 3,ALL,2020,0,48,22592.711804216528,5952.535552917096,6918.309709189362,8964.405714564715,16314.161490638024,29019.939789318094,53999.720337598854,59775.90103227887,48,948.3541666666666,411.65,493.2,570.0,810.5,1246.0,1647.2000000000005,1794.0
section 3,ALL,2021,0,48,22811.563507727737,5136.435976994184,7194.2034418122685,9017.490270059523,21752.400738382858,34680.63235710891,40271.703432545946,47884.679195911514,48,919.75,431.95,492.1,671.25,861.5,1191.0,1396.8000000000006,1555.05
section 3,ALL,2022,0,48,37421.719032436406,8015.204823824815,8482.151692352216,11285.518155698359,35282.93925487683,52941.817806043815,67066.5634915625,72411.69710747359,48,1051.4583333333333,577.25,631.1,733.5,890.0,1136.5,1525.1000000000013,2343.8999999999987
section 3,ALL,2023,0,48,22099.953989887217,4789.709051039184,5052.496658804748,7350.185335289138,17920.64992502744,32924.6880948586,42657.95188015926,49917.92686394038,48,784.0416666666666,393.5,439.0,543.75,693.0,883.25,1267.1000000000008,1645.0
section 3,ALL,2024,0,48,25726.070042325864,6288.198632302643,8409.940969465053,13205.629093009476,21257.2556466944,33305.93801467438,45603.29589578523,57977.10696190717,48,809.2916666666666,501.5,537.9,580.0,635.5,881.0,1255.0000000000005,1666.4499999999996
section 3,ALL,2025,0,28,33539.337093111695,9556.725969203842,9851.583325466006,13693.386587152352,23308.117326442014,46644.328913010475,64899.812015293464,75818.4187030994,28,812.8928571428571,526.55,561.7,631.25,708.5,1062.5,1183.5,1285.8
section 3,ALL,ALL,0,833,19615.089218924997,3630.780547701014,4325.184279102453,7328.245331389045,13645.831365889238,27542.28703338163,43053.11652225308,54576.65484385093,833,689.5414165666266,323.2,360.0,452.0,619.0,826.0,1105.2000000000003,1324.7999999999997
section 3,GLD,2008,0,7,46356.29261395621,32734.069487883862,32734.069487883862,36971.91069880845,45708.818961487515,49831.871221603156,59048.67242063592,65746.1342140674,7,541.8571428571429,459.0,471.0,512.0,547.0,578.5,601.8,609.9
