ticker,ss_flag,contract_size,first_date,last_date,dates,max_rows_per_date,latest_action_on_or_before,latest_action_date
GLD,1,10.0,2013-03-18,2016-01-15,715,2076,,
GLD,1,-99.0,2014-07-18,2014-07-18,1,16,,
GLD,1,-99.0,2014-11-06,2014-11-07,2,110,,
UNG,1,-99.0,2011-03-09,2011-03-23,11,162,reverse split 1-for-2,2011-03-09
UNG,1,50.0,2011-03-24,2012-02-21,230,118,reverse split 1-for-2,2011-03-09
UNG,1,12.0,2012-02-22,2013-01-18,229,20,reverse split 1-for-4,2012-02-22
UNG,1,25.0,2012-02-22,2014-01-17,480,182,reverse split 1-for-4,2012-02-22
UNG,1,25.0,2018-01-05,2020-01-17,512,472,reverse split 1-for-4,2018-01-05
UNG,1,-99.0,2018-03-13,2018-03-14,2,20,reverse split 1-for-4,2018-01-05
UNG,1,-99.0,2018-03-16,2018-03-16,1,20,reverse split 1-for-4,2018-01-05
UNG,1,25.0,2024-01-24,2025-08-29,402,582,reverse split 1-for-4,2024-01-24
USO,1,12.0,2020-04-29,2022-12-16,666,632,reverse split 1-for-8,2020-04-29
