ticker,entry_year,cycles,estimation_cycles,holdout_cycles,days_to_expiration_min,days_to_expiration_median,days_to_expiration_max,strip_meets_section3,strip_meets_section3_and_floor,straddle_meets_section3,cycles_with_missing_return
ALL,2007,16,16,0,25,25.0,32,16,8,16,0
ALL,2008,32,32,0,24,25.0,32,31,23,32,0
ALL,2009,48,48,0,25,25.0,32,48,24,48,0
ALL,2010,48,48,0,25,25.0,32,45,24,44,0
ALL,2011,48,48,0,24,25.0,32,44,36,48,0
ALL,2012,48,48,0,24,25.0,32,48,38,46,0
ALL,2013,48,48,0,24,25.0,32,48,33,48,0
ALL,2014,48,48,0,24,25.0,32,48,38,48,0
ALL,2015,48,48,0,25,25.0,32,48,28,48,0
ALL,2016,48,48,0,25,25.0,32,48,16,48,0
ALL,2017,48,48,0,24,25.0,32,45,12,48,0
ALL,2018,48,48,0,24,25.0,32,48,16,48,0
ALL,2019,48,48,0,24,25.0,32,48,21,48,0
ALL,2020,48,48,0,25,25.0,32,48,39,47,0
ALL,2021,48,48,0,25,25.0,32,48,39,48,0
ALL,2022,48,0,48,24,25.0,32,48,44,48,0
ALL,2023,48,0,48,24,25.0,32,48,37,48,0
ALL,2024,48,0,48,24,25.0,32,48,46,48,0
ALL,2025,28,0,28,24,25.0,32,28,25,28,0
GLD,2008,7,7,0,25,25.0,32,7,7,7,0
GLD,2009,12,12,0,25,25.0,32,12,12,12,0
GLD,2010,12,12,0,25,25.0,32,12,12,12,0
GLD,2011,12,12,0,24,25.0,32,12,12,12,0
GLD,2012,12,12,0,24,25.0,32,12,12,12,0
GLD,2013,12,12,0,24,25.0,32,12,12,12,0
GLD,2014,12,12,0,24,25.0,32,12,12,12,0
GLD,2015,12,12,0,25,25.0,32,12,12,12,0
GLD,2016,12,12,0,25,25.0,32,12,12,12,0
GLD,2017,12,12,0,24,25.0,32,12,12,12,0
GLD,2018,12,12,0,24,25.0,32,12,12,12,0
GLD,2019,12,12,0,24,25.0,32,12,12,12,0
GLD,2020,12,12,0,25,25.0,32,12,12,12,0
GLD,2021,12,12,0,25,25.0,32,12,12,12,0
GLD,2022,12,0,12,24,25.0,32,12,12,12,0
GLD,2023,12,0,12,24,25.0,32,12,12,12,0
GLD,2024,12,0,12,24,25.0,32,12,12,12,0
GLD,2025,7,0,7,24,25.0,32,7,7,7,0
SLV,2008,1,1,0,25,25.0,25,1,0,1,0
SLV,2009,12,12,0,25,25.0,32,12,0,12,0
SLV,2010,12,12,0,25,25.0,32,12,2,12,0
SLV,2011,12,12,0,24,25.0,32,12,12,12,0
SLV,2012,12,12,0,24,25.0,32,12,12,12,0
SLV,2013,12,12,0,24,25.0,32,12,9,12,0
SLV,2014,12,12,0,24,25.0,32,12,9,12,0
SLV,2015,12,12,0,25,25.0,32,12,4,12,0
SLV,2016,12,12,0,25,25.0,32,12,2,12,0
SLV,2017,12,12,0,24,25.0,32,12,0,12,0
SLV,2018,12,12,0,24,25.0,32,12,0,12,0
SLV,2019,12,12,0,24,25.0,32,12,1,12,0
SLV,2020,12,12,0,25,25.0,32,12,10,12,0
SLV,2021,12,12,0,25,25.0,32,12,12,12,0
SLV,2022,12,0,12,24,25.0,32,12,12,12,0
SLV,2023,12,0,12,24,25.0,32,12,12,12,0
SLV,2024,12,0,12,24,25.0,32,12,11,12,0
SLV,2025,7,0,7,24,25.0,32,7,7,7,0
UNG,2007,8,8,0,25,25.0,32,8,3,8,0
UNG,2008,12,12,0,24,25.0,32,11,6,12,0
UNG,2009,12,12,0,25,25.0,32,12,0,12,0
UNG,2010,12,12,0,25,25.0,32,9,0,8,0
UNG,2011,12,12,0,24,25.0,32,8,0,12,0
UNG,2012,12,12,0,24,25.0,32,12,2,10,0
UNG,2013,12,12,0,24,25.0,32,12,0,12,0
UNG,2014,12,12,0,24,25.0,32,12,5,12,0
UNG,2015,12,12,0,25,25.0,32,12,1,12,0
UNG,2016,12,12,0,25,25.0,32,12,0,12,0
UNG,2017,12,12,0,24,25.0,32,9,0,12,0
UNG,2018,12,12,0,24,25.0,32,12,3,12,0
UNG,2019,12,12,0,24,25.0,32,12,6,12,0
UNG,2020,12,12,0,25,25.0,32,12,7,12,0
UNG,2021,12,12,0,25,25.0,32,12,3,12,0
UNG,2022,12,0,12,24,25.0,32,12,8,12,0
UNG,2023,12,0,12,24,25.0,32,12,1,12,0
UNG,2024,12,0,12,24,25.0,32,12,11,12,0
UNG,2025,7,0,7,24,25.0,32,7,4,7,0
USO,2007,8,8,0,25,25.0,32,8,5,8,0
USO,2008,12,12,0,24,25.0,32,12,10,12,0
USO,2009,12,12,0,25,25.0,32,12,12,12,0
USO,2010,12,12,0,25,25.0,32,12,10,12,0
USO,2011,12,12,0,24,25.0,32,12,12,12,0
USO,2012,12,12,0,24,25.0,32,12,12,12,0
USO,2013,12,12,0,24,25.0,32,12,12,12,0
USO,2014,12,12,0,24,25.0,32,12,12,12,0
USO,2015,12,12,0,25,25.0,32,12,11,12,0
USO,2016,12,12,0,25,25.0,32,12,2,12,0
USO,2017,12,12,0,24,25.0,32,12,0,12,0
USO,2018,12,12,0,24,25.0,32,12,1,12,0
USO,2019,12,12,0,24,25.0,32,12,2,12,0
USO,2020,12,12,0,25,25.0,32,12,10,11,0
USO,2021,12,12,0,25,25.0,32,12,12,12,0
USO,2022,12,0,12,24,25.0,32,12,12,12,0
USO,2023,12,0,12,24,25.0,32,12,12,12,0
USO,2024,12,0,12,24,25.0,32,12,12,12,0
USO,2025,7,0,7,24,25.0,32,7,7,7,0
