sample,arm,rule,ticker,year,n,mean,p05,p10,p25,p50,p75,p90,p95,mean_cost_k0,median_cost_k0,mean_cost_k0.25,median_cost_k0.25,mean_cost_k0.5,median_cost_k0.5,mean_cost_k0.75,median_cost_k0.75,mean_cost_k1,median_cost_k1
full,straddle,section 3,ALL,2007,16,0.04969055245992615,0.024827063394295457,0.02845410159407637,0.031664910432033705,0.04919354838709679,0.060075093867334214,0.0745970617600913,0.07785087719298249,0.0,0.0,0.012422638114981538,0.012298387096774197,0.024845276229963076,0.024596774193548394,0.037267914344944614,0.036895161290322595,0.04969055245992615,0.04919354838709679
full,straddle,section 3,ALL,2008,32,0.037724942990194806,0.017857142857142856,0.01830538393645191,0.024220032840722498,0.03439073004290395,0.04082207207207205,0.05596403596403596,0.08469855832241151,0.0,0.0,0.009431235747548701,0.008597682510725988,0.018862471495097403,0.017195365021451976,0.028293707242646106,0.025793047532177964,0.037724942990194806,0.03439073004290395
full,straddle,section 3,ALL,2009,48,0.030681834634300992,0.007588308149616051,0.011785682838777857,0.02094259906759905,0.02632034632034634,0.03830188679245286,0.051956856702619444,0.06567375886524822,0.0,0.0,0.007670458658575248,0.006580086580086585,0.015340917317150496,0.01316017316017317,0.023011375975725744,0.019740259740259756,0.030681834634300992,0.02632034632034634
full,straddle,section 3,ALL,2010,44,0.010038690184705434,0.0050172634271099786,0.005814037994738314,0.006509037245386498,0.00810816733504263,0.012658227848101276,0.016354166666666666,0.019955634427684107,0.0,0.0,0.0025096725461763586,0.0020270418337606576,0.005019345092352717,0.004054083667521315,0.007529017638529076,0.006081125501281972,0.010038690184705434,0.00810816733504263
full,straddle,section 3,ALL,2011,48,0.008316440664775706,0.002338963963963924,0.002597766855433304,0.0035786613668096186,0.006177606177606184,0.011475746779939688,0.01894003124624444,0.02127659574468086,0.0,0.0,0.0020791101661939266,0.001544401544401546,0.004158220332387853,0.003088803088803092,0.006237330498581779,0.004633204633204638,0.008316440664775706,0.006177606177606184
full,straddle,section 3,ALL,2012,46,0.006911876769003421,0.0038886314488724167,0.004366438356164388,0.005008811681772396,0.00613496932515338,0.007982320928623115,0.01070604610368562,0.011905319896883053,0.0,0.0,0.0017279691922508552,0.001533742331288345,0.0034559383845017104,0.00306748466257669,0.005183907576752566,0.0046012269938650345,0.006911876769003421,0.00613496932515338
full,straddle,section 3,ALL,2013,48,0.007882321598618595,0.003256046108641592,0.004005458780715449,0.006187569367369595,0.007326892109500791,0.010532719875280438,0.011665420361072506,0.011952191235059773,0.0,0.0,0.0019705803996546488,0.0018317230273751978,0.0039411607993092975,0.0036634460547503955,0.005911741198963946,0.005495169082125593,0.007882321598618595,0.007326892109500791
full,straddle,section 3,ALL,2014,48,0.011937888758510201,0.0025867160652920888,0.00269381830601094,0.006649846048580203,0.009136696636696622,0.013128970454774607,0.02251198430472529,0.03231284153005461,0.0,0.0,0.0029844721896275504,0.0022841741591741556,0.005968944379255101,0.004568348318348311,0.008953416568882652,0.006852522477522467,0.011937888758510201,0.009136696636696622
full,straddle,section 3,ALL,2015,48,0.020108623226724732,0.007201303654392906,0.007949308755760377,0.010120681484021524,0.0140873015873016,0.023805496828752663,0.039694616571234374,0.048477564102564104,0.0,0.0,0.005027155806681183,0.0035218253968254,0.010054311613362366,0.0070436507936508,0.01508146742004355,0.0105654761904762,0.020108623226724732,0.0140873015873016
full,straddle,section 3,ALL,2016,48,0.022811188710701705,0.007009167303284956,0.007496408515084198,0.010110186559580204,0.018129614438064004,0.02572427572427575,0.04631185807656393,0.06259958772076438,0.0,0.0,0.005702797177675426,0.004532403609516001,0.011405594355350853,0.009064807219032002,0.01710839153302628,0.013597210828548003,0.022811188710701705,0.018129614438064004
