ticker,arm,null_delta_leg_days,own_iv_attempts,own_iv_successes,own_iv_success_rate,prior_iv_attempts,prior_iv_successes,prior_iv_success_rate,carried_leg_days
ALL,straddle,1055,1055,0,0.0,1055,655,0.6208530805687204,400
ALL,strip,6382,6382,0,0.0,6382,3992,0.6255092447508618,2390
GLD,straddle,190,190,0,0.0,190,131,0.6894736842105263,59
GLD,strip,1005,1005,0,0.0,1005,775,0.7711442786069652,230
SLV,straddle,230,230,0,0.0,230,145,0.6304347826086957,85
SLV,strip,993,993,0,0.0,993,703,0.7079556898288016,290
UNG,straddle,378,378,0,0.0,378,203,0.5370370370370371,175
UNG,strip,2330,2330,0,0.0,2330,1279,0.5489270386266094,1051
USO,straddle,257,257,0,0.0,257,176,0.6848249027237354,81
USO,strip,2054,2054,0,0.0,2054,1235,0.6012658227848101,819
