ticker,arm,run_length,runs
GLD,straddle,1,95
GLD,straddle,2,24
GLD,straddle,3,6
GLD,straddle,4,3
GLD,straddle,5,1
GLD,straddle,6,2
GLD,strip,1,615
GLD,strip,2,118
GLD,strip,3,27
GLD,strip,4,10
GLD,strip,5,2
GLD,strip,6,2
GLD,strip,11,1
SLV,straddle,1,99
SLV,straddle,2,25
SLV,straddle,3,14
SLV,straddle,4,3
SLV,straddle,5,1
SLV,straddle,6,1
SLV,straddle,7,1
SLV,straddle,9,1
SLV,strip,1,513
SLV,strip,2,131
SLV,strip,3,45
SLV,strip,4,5
SLV,strip,5,2
SLV,strip,6,1
SLV,strip,7,2
SLV,strip,8,3
SLV,strip,9,1
UNG,straddle,1,127
UNG,straddle,2,38
UNG,straddle,3,21
UNG,straddle,4,10
UNG,straddle,6,1
UNG,straddle,7,2
UNG,straddle,9,2
UNG,straddle,17,2
UNG,strip,1,776
UNG,strip,2,301
UNG,strip,3,114
UNG,strip,4,57
UNG,strip,5,7
UNG,strip,6,1
UNG,strip,7,5
UNG,strip,17,18
USO,straddle,1,122
USO,straddle,2,37
USO,straddle,3,13
USO,straddle,4,2
USO,straddle,5,1
USO,straddle,9,1
USO,strip,1,826
USO,strip,2,273
USO,strip,3,83
USO,strip,4,23
USO,strip,5,2
USO,strip,6,3
USO,strip,7,1
USO,strip,8,1
USO,strip,9,2
USO,strip,10,1
USO,strip,11,1
USO,strip,12,20
USO,strip,19,1
