ticker,date,cycle,exdate,rows,standard_rows,non_standard_rows,contract_sizes,passing_rows,paired_strikes,delta_null_rows
USO,2020-03-02,154,2020-03-20,70,70,0,100,46,11,14
USO,2020-03-03,154,2020-03-20,70,70,0,100,45,10,8
USO,2020-03-04,154,2020-03-20,70,70,0,100,45,10,9
USO,2020-03-05,154,2020-03-20,70,70,0,100,45,10,19
USO,2020-03-06,154,2020-03-20,70,70,0,100,47,12,7
USO,2020-03-09,154,2020-03-20,70,70,0,100,50,15,22
USO,2020-03-10,154,2020-03-20,70,70,0,100,48,13,4
USO,2020-03-11,154,2020-03-20,70,70,0,100,45,10,6
USO,2020-03-12,154,2020-03-20,70,70,0,100,45,10,29
USO,2020-03-13,154,2020-03-20,70,70,0,100,47,12,36
USO,2020-03-16,154,2020-03-20,70,70,0,100,44,9,36
USO,2020-03-17,154,2020-03-20,70,70,0,100,43,8,46
USO,2020-03-18,154,2020-03-20,70,70,0,100,41,6,59
USO,2020-03-19,154,2020-03-20,70,70,0,100,40,5,60
USO,2020-03-20,154,2020-03-20,70,70,0,100,35,0,70
USO,2020-03-23,155,2020-04-17,76,76,0,100,57,19,4
USO,2020-03-24,155,2020-04-17,76,76,0,100,56,18,5
USO,2020-03-25,155,2020-04-17,76,76,0,100,54,16,4
USO,2020-03-26,155,2020-04-17,76,76,0,100,55,17,6
USO,2020-03-27,155,2020-04-17,76,76,0,100,54,16,20
USO,2020-03-30,155,2020-04-17,76,76,0,100,55,17,8
USO,2020-03-31,155,2020-04-17,76,76,0,100,52,14,13
USO,2020-04-01,155,2020-04-17,78,78,0,100,54,15,18
USO,2020-04-02,155,2020-04-17,78,78,0,100,57,18,17
USO,2020-04-03,155,2020-04-17,78,78,0,100,61,22,8
USO,2020-04-06,155,2020-04-17,78,78,0,100,58,19,21
USO,2020-04-07,155,2020-04-17,78,78,0,100,56,17,33
USO,2020-04-08,155,2020-04-17,78,78,0,100,58,19,29
USO,2020-04-09,155,2020-04-17,78,78,0,100,53,14,31
USO,2020-04-13,155,2020-04-17,78,78,0,100,46,7,51
USO,2020-04-14,155,2020-04-17,78,78,0,100,44,5,56
USO,2020-04-15,155,2020-04-17,78,78,0,100,43,4,63
USO,2020-04-16,155,2020-04-17,78,78,0,100,41,2,69
USO,2020-04-17,155,2020-04-17,78,78,0,100,39,0,78
USO,2020-04-20,156,2020-05-15,46,46,0,100,43,20,8
USO,2020-04-21,156,2020-05-15,46,46,0,100,45,22,15
USO,2020-04-22,156,2020-05-15,46,46,0,100,43,20,8
USO,2020-04-23,156,2020-05-15,46,46,0,100,42,19,8
USO,2020-04-24,156,2020-05-15,46,46,0,100,42,19,4
USO,2020-04-27,156,2020-05-15,46,46,0,100,38,15,11
USO,2020-04-28,156,2020-05-15,46,46,0,100,36,13,12
USO,2020-04-29,156,2020-05-15,46,0,46,12,0,0,46
USO,2020-04-30,156,2020-05-15,100,54,46,12 100,54,27,46
USO,2020-05-01,156,2020-05-15,110,64,46,12 100,64,32,51
USO,2020-05-04,156,2020-05-15,112,66,46,12 100,63,30,50
USO,2020-05-05,156,2020-05-15,124,78,46,12 100,73,34,59
USO,2020-05-06,156,2020-05-15,124,78,46,12 100,74,35,53
USO,2020-05-07,156,2020-05-15,124,78,46,12 100,73,34,56
USO,2020-05-08,156,2020-05-15,124,78,46,12 100,72,33,63
USO,2020-05-11,156,2020-05-15,124,78,46,12 100,62,23,69
USO,2020-05-12,156,2020-05-15,124,78,46,12 100,58,19,64
USO,2020-05-13,156,2020-05-15,124,78,46,12 100,59,20,76
