ticker,cycle,entry,expiration,arm,optionid,cp_flag,strike_price,cycle_days,days_present,days_standard,action_in_cycle,action_date,days_after_action,days_after_action_present,days_after_action_standard,survives_filter_after_action,ss_flag_after_action,contract_size_after_action,delta_null_days_after_action
UNG,154,2020-02-24,2020-03-20,straddle,132617512,C,14.5,20,20,20,,,0,0,0,False,,,0
UNG,154,2020-02-24,2020-03-20,straddle,132617525,P,14.5,20,20,20,,,0,0,0,False,,,0
UNG,154,2020-02-24,2020-03-20,strip,132031145,C,14.0,20,20,20,,,0,0,0,False,,,0
UNG,154,2020-02-24,2020-03-20,strip,132031146,C,15.0,20,20,20,,,0,0,0,False,,,0
UNG,154,2020-02-24,2020-03-20,strip,132031147,C,16.0,20,20,20,,,0,0,0,False,,,0
UNG,154,2020-02-24,2020-03-20,strip,132031148,C,17.0,20,20,20,,,0,0,0,False,,,0
UNG,154,2020-02-24,2020-03-20,strip,132031162,P,13.0,20,20,20,,,0,0,0,False,,,0
UNG,154,2020-02-24,2020-03-20,strip,132031163,P,14.0,20,20,20,,,0,0,0,False,,,0
UNG,154,2020-02-24,2020-03-20,strip,132617512,C,14.5,20,20,20,,,0,0,0,False,,,0
UNG,154,2020-02-24,2020-03-20,strip,132617513,C,15.5,20,20,20,,,0,0,0,False,,,0
UNG,154,2020-02-24,2020-03-20,strip,132617514,C,16.5,20,20,20,,,0,0,0,False,,,0
UNG,154,2020-02-24,2020-03-20,strip,132617523,P,12.5,20,20,20,,,0,0,0,False,,,0
UNG,154,2020-02-24,2020-03-20,strip,132617524,P,13.5,20,20,20,,,0,0,0,False,,,0
UNG,155,2020-03-23,2020-04-17,straddle,133354446,C,12.5,19,19,19,,,0,0,0,False,,,0
UNG,155,2020-03-23,2020-04-17,straddle,133354457,P,12.5,19,19,19,,,0,0,0,False,,,0
UNG,155,2020-03-23,2020-04-17,strip,130223692,C,13.0,19,19,19,,,0,0,0,False,,,0
UNG,155,2020-03-23,2020-04-17,strip,130223693,C,14.0,19,19,19,,,0,0,0,False,,,0
UNG,155,2020-03-23,2020-04-17,strip,130223694,C,15.0,19,19,19,,,0,0,0,False,,,0
UNG,155,2020-03-23,2020-04-17,strip,130223695,C,16.0,19,19,19,,,0,0,0,False,,,0
UNG,155,2020-03-23,2020-04-17,strip,130223696,C,17.0,19,19,19,,,0,0,0,False,,,0
UNG,155,2020-03-23,2020-04-17,strip,130223697,C,18.0,19,19,19,,,0,0,0,False,,,0
UNG,155,2020-03-23,2020-04-17,strip,130223699,C,20.0,19,19,19,,,0,0,0,False,,,0
UNG,155,2020-03-23,2020-04-17,strip,130223700,C,21.0,19,19,19,,,0,0,0,False,,,0
UNG,155,2020-03-23,2020-04-17,strip,130223710,P,10.0,19,19,19,,,0,0,0,False,,,0
UNG,155,2020-03-23,2020-04-17,strip,130223711,P,11.0,19,19,19,,,0,0,0,False,,,0
UNG,155,2020-03-23,2020-04-17,strip,130223712,P,12.0,19,19,19,,,0,0,0,False,,,0
UNG,155,2020-03-23,2020-04-17,strip,133354446,C,12.5,19,19,19,,,0,0,0,False,,,0
UNG,155,2020-03-23,2020-04-17,strip,133354447,C,13.5,19,19,19,,,0,0,0,False,,,0
UNG,155,2020-03-23,2020-04-17,strip,133354448,C,14.5,19,19,19,,,0,0,0,False,,,0
UNG,155,2020-03-23,2020-04-17,strip,133354449,C,15.5,19,19,19,,,0,0,0,False,,,0
UNG,155,2020-03-23,2020-04-17,strip,133354450,C,16.5,19,19,19,,,0,0,0,False,,,0
UNG,155,2020-03-23,2020-04-17,strip,133354451,C,17.5,19,19,19,,,0,0,0,False,,,0
UNG,155,2020-03-23,2020-04-17,strip,133354455,P,10.5,19,19,19,,,0,0,0,False,,,0
UNG,155,2020-03-23,2020-04-17,strip,133354456,P,11.5,19,19,19,,,0,0,0,False,,,0
UNG,155,2020-03-23,2020-04-17,strip,133354457,P,12.5,19,19,19,,,0,0,0,False,,,0
UNG,155,2020-03-23,2020-04-17,strip,133354465,P,9.5,19,19,19,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,straddle,133788621,C,14.5,20,20,20,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,straddle,133788631,P,14.5,20,20,20,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,strip,133354470,C,14.0,20,20,20,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,strip,133354471,C,15.0,20,20,20,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,strip,133354472,C,16.0,20,20,20,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,strip,133354473,C,17.0,20,20,20,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,strip,133354474,C,18.0,20,20,20,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,strip,133354475,C,19.0,20,20,20,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,strip,133354476,C,20.0,20,20,20,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,strip,133354477,C,21.0,20,20,20,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,strip,133354478,C,22.0,20,20,20,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,strip,133354479,C,23.0,20,20,20,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,strip,133354487,P,10.0,20,20,20,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,strip,133354488,P,11.0,20,20,20,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,strip,133354489,P,12.0,20,20,20,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,strip,133354490,P,13.0,20,20,20,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,strip,133354491,P,14.0,20,20,20,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,strip,133682380,C,24.0,20,20,20,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,strip,133788621,C,14.5,20,20,20,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,strip,133788622,C,15.5,20,20,20,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,strip,133788623,C,16.5,20,20,20,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,strip,133788624,C,17.5,20,20,20,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,strip,133788627,P,10.5,20,20,20,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,strip,133788628,P,11.5,20,20,20,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,strip,133788629,P,12.5,20,20,20,,,0,0,0,False,,,0
UNG,156,2020-04-20,2020-05-15,strip,133788630,P,13.5,20,20,20,,,0,0,0,False,,,0
UNG,157,2020-05-18,2020-06-19,straddle,133788639,C,12.0,24,24,24,,,0,0,0,False,,,0
UNG,157,2020-05-18,2020-06-19,straddle,133788661,P,12.0,24,24,24,,,0,0,0,False,,,0
UNG,157,2020-05-18,2020-06-19,strip,133788639,C,12.0,24,24,24,,,0,0,0,False,,,0
UNG,157,2020-05-18,2020-06-19,strip,133788640,C,13.0,24,24,24,,,0,0,0,False,,,0
UNG,157,2020-05-18,2020-06-19,strip,133788641,C,14.0,24,24,24,,,0,0,0,False,,,0
UNG,157,2020-05-18,2020-06-19,strip,133788642,C,15.0,24,24,24,,,0,0,0,False,,,0
UNG,157,2020-05-18,2020-06-19,strip,133788643,C,16.0,24,24,24,,,0,0,0,False,,,0
UNG,157,2020-05-18,2020-06-19,strip,133788644,C,17.0,24,24,24,,,0,0,0,False,,,0
UNG,157,2020-05-18,2020-06-19,strip,133788645,C,18.0,24,24,24,,,0,0,0,False,,,0
UNG,157,2020-05-18,2020-06-19,strip,133788646,C,19.0,24,24,24,,,0,0,0,False,,,0
UNG,157,2020-05-18,2020-06-19,strip,133788659,P,10.0,24,24,24,,,0,0,0,False,,,0
UNG,157,2020-05-18,2020-06-19,strip,133788660,P,11.0,24,24,24,,,0,0,0,False,,,0
UNG,157,2020-05-18,2020-06-19,strip,133788661,P,12.0,24,24,24,,,0,0,0,False,,,0
UNG,157,2020-05-18,2020-06-19,strip,133788676,P,5.0,24,24,24,,,0,0,0,False,,,0
UNG,157,2020-05-18,2020-06-19,strip,133788677,P,6.0,24,24,24,,,0,0,0,False,,,0
UNG,157,2020-05-18,2020-06-19,strip,133788678,P,7.0,24,24,24,,,0,0,0,False,,,0
UNG,157,2020-05-18,2020-06-19,strip,133788679,P,8.0,24,24,24,,,0,0,0,False,,,0
UNG,157,2020-05-18,2020-06-19,strip,133788680,P,9.0,24,24,24,,,0,0,0,False,,,0
UNG,157,2020-05-18,2020-06-19,strip,134230937,C,12.5,24,24,24,,,0,0,0,False,,,0
UNG,157,2020-05-18,2020-06-19,strip,134230938,C,13.5,24,24,24,,,0,0,0,False,,,0
