arm,k,c,mean
strip,0.0,0.0,0.1652745423713357
strip,0.25,0.0,0.15417071032077356
strip,0.5,0.0,0.1430668782702111
strip,0.75,0.0,0.1319630462196493
strip,1.0,0.0,0.12085921416908697
strip,0.0,0.0002,0.1438554408532253
strip,0.25,0.0002,0.13275160880266412
strip,0.5,0.0002,0.12164777675210224
strip,0.75,0.0002,0.11054394470153919
strip,1.0,0.0002,0.09944011265097744
strip,0.0,0.0005,0.1117267885760595
strip,0.25,0.0005,0.10062295652549752
strip,0.5,0.0005,0.08951912447493604
strip,0.75,0.0005,0.07841529242437383
strip,1.0,0.0005,0.0673114603738107
strip,0.0,0.001,0.05817903478078499
strip,0.25,0.001,0.04707520273022409
strip,0.5,0.001,0.0359713706796615
strip,0.75,0.001,0.02486753862910037
strip,1.0,0.001,0.01376370657853783
straddle,0.0,0.0,0.032067527402889255
straddle,0.25,0.0,0.027288328381845087
straddle,0.5,0.0,0.022509129360800965
straddle,0.75,0.0,0.017729930339757054
straddle,1.0,0.0,0.0129507313187129
straddle,0.0,0.0002,0.02179235402364295
straddle,0.25,0.0002,0.017013155002599187
straddle,0.5,0.0002,0.012233955981554833
straddle,0.75,0.0002,0.007454756960510703
straddle,1.0,0.0002,0.0026755579394664277
straddle,0.0,0.0005,0.006379593954773701
straddle,0.25,0.0005,0.001600394933729899
straddle,0.5,0.0005,-0.0031788040873143063
straddle,0.75,0.0005,-0.007958003108358497
straddle,1.0,0.0005,-0.012737202129402653
straddle,0.0,0.001,-0.019308339493341528
straddle,0.25,0.001,-0.024087538514385623
straddle,0.5,0.001,-0.028866737535429576
straddle,0.75,0.001,-0.03364593655647383
straddle,1.0,0.001,-0.0384251355775181
