arm,population,ticker,eta_n,eta_mean,eta_se_newey_west,eta_total_n,eta_total_mean,eta_total_se_newey_west
straddle,primary,GLD,206,-0.03291020552240267,0.012819462450504188,206,-0.005197064536854912,0.012918966264735904
straddle,primary,SLV,200,-0.01972404444815714,0.014385508862540263,200,0.008071446914322662,0.01472184801851153
straddle,primary,UNG,210,-0.03341431755621184,0.010232790395157046,210,-0.006597675682464298,0.010490301199929712
straddle,primary,USO,218,-0.023937830721571726,0.01550764319610252,218,0.0040632364593849194,0.015929455940470693
straddle,primary,ALL,834,-0.02752969425821763,0.007018284776162329,834,5.27191164278538e-05,0.0072646367383964695
strip,fails rule 2,SLV,85,-0.07673690986284384,0.037250011019264916,85,-0.02619230822384265,0.044302498489396235
strip,fails rule 2,UNG,145,-0.09408670970153936,0.012540625889561691,145,-0.04896821724327356,0.013247777707803247
strip,fails rule 2,USO,53,0.07808531245932689,0.18303635860677395,53,0.15949929740830418,0.21020751637998752
strip,fails rule 2,ALL,283,-0.05663140877993149,0.04383946542661586,283,-0.0030857771613468916,0.05148684046309833
strip,passes rule 2,GLD,206,-0.052707520250411206,0.010194463055595003,206,-0.005199094403881826,0.010760857220831036
strip,passes rule 2,SLV,115,-0.05060743101755211,0.010649328371621537,115,-0.0027420205502731022,0.012649943263356347
strip,passes rule 2,UNG,60,0.03280340069046303,0.07878833385599639,60,0.09115176278666312,0.08801972889018758
strip,passes rule 2,USO,165,-0.07057336897497624,0.008616612155420015,165,-0.026969162628323103,0.009006825292127936
strip,passes rule 2,ALL,546,-0.04826740948360165,0.010719836846117157,546,-0.0006724393350816668,0.011961918103105148
