ticker,cycle,arm,entry,window,block,excluded_by,primary,robustness,truncated
GLD,1,strip,2008-06-23,estimation,A and B,,True,True,False
GLD,1,straddle,2008-06-23,estimation,A and B,,True,False,False
GLD,2,strip,2008-07-21,estimation,A and B,,True,True,False
GLD,2,straddle,2008-07-21,estimation,A and B,,True,False,False
GLD,3,strip,2008-08-18,estimation,A and B,,True,True,False
GLD,3,straddle,2008-08-18,estimation,A and B,,True,False,False
GLD,4,strip,2008-09-22,estimation,A and B,,True,True,False
GLD,4,straddle,2008-09-22,estimation,A and B,,True,False,False
GLD,5,strip,2008-10-20,estimation,A and B,,True,True,False
GLD,5,straddle,2008-10-20,estimation,A and B,,True,False,False
GLD,6,strip,2008-11-24,estimation,A and B,,True,True,False
GLD,6,straddle,2008-11-24,estimation,A and B,,True,False,False
GLD,7,strip,2008-12-22,estimation,A and B,,True,True,False
GLD,7,straddle,2008-12-22,estimation,A and B,,True,False,False
GLD,8,strip,2009-01-20,estimation,A and B,,True,True,False
GLD,8,straddle,2009-01-20,estimation,A and B,,True,False,False
GLD,9,strip,2009-02-23,estimation,A and B,,True,True,False
GLD,9,straddle,2009-02-23,estimation,A and B,,True,False,False
GLD,10,strip,2009-03-23,estimation,A and B,,True,True,False
GLD,10,straddle,2009-03-23,estimation,A and B,,True,False,False
GLD,11,strip,2009-04-20,estimation,A and B,,True,True,False
GLD,11,straddle,2009-04-20,estimation,A and B,,True,False,False
GLD,12,strip,2009-05-18,estimation,A and B,,True,True,False
GLD,12,straddle,2009-05-18,estimation,A and B,,True,False,False
GLD,13,strip,2009-06-22,estimation,A and B,,True,True,False
GLD,13,straddle,2009-06-22,estimation,A and B,,True,False,False
GLD,14,strip,2009-07-20,estimation,A and B,,True,True,False
GLD,14,straddle,2009-07-20,estimation,A and B,,True,False,False
GLD,15,strip,2009-08-24,estimation,A and B,,True,True,False
GLD,15,straddle,2009-08-24,estimation,A and B,,True,False,False
GLD,16,strip,2009-09-21,estimation,A and B,,True,True,False
GLD,16,straddle,2009-09-21,estimation,A and B,,True,False,False
GLD,17,strip,2009-10-19,estimation,A and B,,True,True,False
GLD,17,straddle,2009-10-19,estimation,A and B,,True,False,False
GLD,18,strip,2009-11-23,estimation,A and B,,True,True,False
GLD,18,straddle,2009-11-23,estimation,A and B,,True,False,False
GLD,19,strip,2009-12-21,estimation,A and B,,True,True,False
GLD,19,straddle,2009-12-21,estimation,A and B,,True,False,False
GLD,20,strip,2010-01-19,estimation,A and B,,True,True,False
GLD,20,straddle,2010-01-19,estimation,A and B,,True,False,False
GLD,21,strip,2010-02-22,estimation,A and B,,True,True,False
GLD,21,straddle,2010-02-22,estimation,A and B,,True,False,False
GLD,22,strip,2010-03-22,estimation,A and B,,True,True,False
GLD,22,straddle,2010-03-22,estimation,A and B,,True,False,False
GLD,23,strip,2010-04-19,estimation,A and B,,True,True,False
GLD,23,straddle,2010-04-19,estimation,A and B,,True,False,False
GLD,24,strip,2010-05-24,estimation,A and B,,True,True,False
GLD,24,straddle,2010-05-24,estimation,A and B,,True,False,False
GLD,25,strip,2010-06-21,estimation,A and B,,True,True,False
GLD,25,straddle,2010-06-21,estimation,A and B,,True,False,False
GLD,26,strip,2010-07-19,estimation,A and B,,True,True,False
GLD,26,straddle,2010-07-19,estimation,A and B,,True,False,False
GLD,27,strip,2010-08-23,estimation,A and B,,True,True,False
GLD,27,straddle,2010-08-23,estimation,A and B,,True,False,False
GLD,28,strip,2010-09-20,estimation,A and B,,True,True,False
GLD,28,straddle,2010-09-20,estimation,A and B,,True,False,False
GLD,29,strip,2010-10-18,estimation,A and B,,True,True,False
GLD,29,straddle,2010-10-18,estimation,A and B,,True,False,False
GLD,30,strip,2010-11-22,estimation,A and B,,True,True,False
GLD,30,straddle,2010-11-22,estimation,A and B,,True,False,False
GLD,31,strip,2010-12-20,estimation,A and B,,True,True,False
GLD,31,straddle,2010-12-20,estimation,A and B,,True,False,False
GLD,32,strip,2011-01-24,estimation,A and B,,True,True,False
GLD,32,straddle,2011-01-24,estimation,A and B,,True,False,False
GLD,33,strip,2011-02-22,estimation,A and B,,True,True,False
GLD,33,straddle,2011-02-22,estimation,A and B,,True,False,False
GLD,34,strip,2011-03-21,estimation,A and B,,True,True,False
GLD,34,straddle,2011-03-21,estimation,A and B,,True,False,False
GLD,35,strip,2011-04-18,estimation,A and B,,True,True,False
GLD,35,straddle,2011-04-18,estimation,A and B,,True,False,False
GLD,36,strip,2011-05-23,estimation,A and B,,True,True,False
GLD,36,straddle,2011-05-23,estimation,A and B,,True,False,False
GLD,37,strip,2011-06-20,estimation,A and B,,True,True,False
GLD,37,straddle,2011-06-20,estimation,A and B,,True,False,False
GLD,38,strip,2011-07-18,estimation,A and B,,True,True,False
GLD,38,straddle,2011-07-18,estimation,A and B,,True,False,False
GLD,39,strip,2011-08-22,estimation,A and B,,True,True,False
GLD,39,straddle,2011-08-22,estimation,A and B,,True,False,False
GLD,40,strip,2011-09-19,estimation,A and B,,True,True,False
GLD,40,straddle,2011-09-19,estimation,A and B,,True,False,False
GLD,41,strip,2011-10-24,estimation,A and B,,True,True,False
GLD,41,straddle,2011-10-24,estimation,A and B,,True,False,False
GLD,42,strip,2011-11-21,estimation,A and B,,True,True,False
GLD,42,straddle,2011-11-21,estimation,A and B,,True,False,False
GLD,43,strip,2011-12-19,estimation,A and B,,True,True,False
GLD,43,straddle,2011-12-19,estimation,A and B,,True,False,False
GLD,44,strip,2012-01-23,estimation,A and B,,True,True,False
GLD,44,straddle,2012-01-23,estimation,A and B,,True,False,False
GLD,45,strip,2012-02-21,estimation,A and B,,True,True,False
GLD,45,straddle,2012-02-21,estimation,A and B,,True,False,False
GLD,46,strip,2012-03-19,estimation,A and B,,True,True,False
GLD,46,straddle,2012-03-19,estimation,A and B,,True,False,False
GLD,47,strip,2012-04-23,estimation,A and B,,True,True,False
GLD,47,straddle,2012-04-23,estimation,A and B,,True,False,False
GLD,48,strip,2012-05-21,estimation,A and B,,True,True,False
GLD,48,straddle,2012-05-21,estimation,A and B,,True,False,False
GLD,49,strip,2012-06-18,estimation,A and B,,True,True,False
GLD,49,straddle,2012-06-18,estimation,A and B,,True,False,False
GLD,50,strip,2012-07-23,estimation,A and B,,True,True,False
GLD,50,straddle,2012-07-23,estimation,A and B,,True,False,False
GLD,51,strip,2012-08-20,estimation,A and B,,True,True,False
GLD,51,straddle,2012-08-20,estimation,A and B,,True,False,False
GLD,52,strip,2012-09-24,estimation,A and B,,True,True,False
GLD,52,straddle,2012-09-24,estimation,A and B,,True,False,False
GLD,53,strip,2012-10-22,estimation,A and B,,True,True,False
GLD,53,straddle,2012-10-22,estimation,A and B,,True,False,False
GLD,54,strip,2012-11-19,estimation,A and B,,True,True,False
GLD,54,straddle,2012-11-19,estimation,A and B,,True,False,False
GLD,55,strip,2012-12-24,estimation,A and B,,True,True,False
GLD,55,straddle,2012-12-24,estimation,A and B,,True,False,False
GLD,56,strip,2013-01-22,estimation,A and B,,True,True,False
GLD,56,straddle,2013-01-22,estimation,A and B,,True,False,False
GLD,57,strip,2013-02-19,estimation,A and B,,True,True,False
GLD,57,straddle,2013-02-19,estimation,A and B,,True,False,False
GLD,58,strip,2013-03-18,estimation,A and B,,True,True,False
GLD,58,straddle,2013-03-18,estimation,A and B,,True,False,False
GLD,59,strip,2013-04-22,estimation,A and B,,True,True,False
GLD,59,straddle,2013-04-22,estimation,A and B,,True,False,False
GLD,60,strip,2013-05-20,estimation,A and B,,True,True,False
