arm,k,c_bps,worst_cycle,worst_cycle_entry,worst_three_cycles,worst_three_cycles_last_entry,max_drawdown,peak_date,trough_date,recovery_date,recovery_trading_days,recovery
strip,0.0,0.0,-3.0214733078205467,2013-03-18,-2.6776684902592236,2013-05-20,-4.82704796468574,2020-02-14,2020-03-16,2021-04-30,284.0,recovered
strip,0.0,2.0,-3.0624598276693167,2013-03-18,-2.7524401205605304,2013-05-20,-4.882871850985776,2020-02-14,2020-03-16,2021-05-27,303.0,recovered
strip,0.0,5.0,-3.1239396074424826,2013-03-18,-2.8645975660125007,2013-05-20,-4.966607680435761,2020-02-14,2020-03-16,2021-06-24,322.0,recovered
strip,0.0,10.0,-3.226405907064436,2013-03-18,-3.0515266417657925,2013-05-20,-6.755746969196839,2018-06-14,2020-03-16,2023-01-31,725.0,recovered
strip,0.25,0.0,-3.035944103335592,2013-03-18,-2.7076592089308384,2013-05-20,-4.831554354277468,2020-02-14,2020-03-16,2021-05-21,299.0,recovered
strip,0.25,2.0,-3.076930623184342,2013-03-18,-2.782430839232117,2013-05-20,-4.887378240577458,2020-02-14,2020-03-16,2021-06-02,306.0,recovered
strip,0.25,5.0,-3.1384104029575357,2013-03-18,-2.8945882846841218,2013-05-20,-5.141936599652871,2018-08-09,2020-03-16,2021-07-09,332.0,recovered
strip,0.25,10.0,-3.2408767025794663,2013-03-18,-3.081517360437386,2013-05-20,-6.954168701548274,2018-06-14,2020-03-16,2023-09-15,882.0,recovered
strip,0.5,0.0,-3.050414898850622,2013-03-18,-2.7376499276024324,2013-05-20,-4.836060743869162,2020-02-14,2020-03-16,2021-05-27,303.0,recovered
strip,0.5,2.0,-3.091401418699401,2013-03-18,-2.8124215579037495,2013-05-20,-4.891884630169159,2020-02-14,2020-03-16,2021-06-09,311.0,recovered
strip,0.5,5.0,-3.1528811984725604,2013-03-18,-2.9245790033557166,2013-05-20,-5.323412775349576,2018-08-09,2020-03-16,2021-07-29,346.0,recovered
strip,0.5,10.0,-3.255347498094505,2013-03-18,-3.11150807910899,2013-05-20,-7.152590433899842,2018-06-14,2020-03-16,,,unrecovered by 2025-08-29
strip,0.75,0.0,-3.0648856943656657,2013-03-18,-2.76764064627404,2013-05-20,-4.84056713346088,2020-02-14,2020-03-16,2021-06-02,306.0,recovered
strip,0.75,2.0,-3.105872214214443,2013-03-18,-2.842412276575356,2013-05-20,-4.896391019760863,2020-02-14,2020-03-16,2021-06-24,322.0,recovered
strip,0.75,5.0,-3.167351993987609,2013-03-18,-2.954569722027323,2013-05-20,-5.504888951046224,2018-08-09,2020-03-16,2021-10-28,410.0,recovered
strip,0.75,10.0,-3.269818293609553,2013-03-18,-3.141498797780601,2013-05-20,-7.351012166251382,2018-06-14,2020-03-16,,,unrecovered by 2025-08-29
strip,1.0,0.0,-3.0793564898807193,2013-03-18,-2.797631364945663,2013-05-20,-4.845073523052546,2020-02-14,2020-03-16,2021-06-14,314.0,recovered
strip,1.0,2.0,-3.1203430097294773,2013-03-18,-2.872402995246958,2013-05-20,-4.900897409352542,2020-02-14,2020-03-16,2021-06-28,324.0,recovered
strip,1.0,5.0,-3.181822789502664,2013-03-18,-2.98456044069894,2013-05-20,-5.686365126743004,2018-08-09,2020-03-16,2022-01-04,456.0,recovered
strip,1.0,10.0,-3.2842890891246057,2013-03-18,-3.1714895164522234,2013-05-20,-7.6513346207680755,2013-03-27,2020-03-16,,,unrecovered by 2025-08-29
straddle,0.0,0.0,-0.9474159704343567,2020-02-24,-0.9000942099468523,2020-02-24,-1.3229515244627348,2019-04-10,2020-03-16,2020-12-14,190.0,recovered
straddle,0.0,2.0,-0.9570079899484414,2020-02-24,-0.93679298833458,2020-02-24,-1.4690208569989391,2019-04-10,2020-03-16,2021-06-14,314.0,recovered
straddle,0.0,5.0,-0.9713960192195639,2020-02-24,-0.9918411559161688,2020-02-24,-1.9966751963721991,2017-11-16,2020-03-16,,,unrecovered by 2025-08-29
straddle,0.0,10.0,-0.995376068004766,2020-02-24,-1.0835881018854772,2020-02-24,-5.899616719617369,2007-10-12,2025-04-10,,,unrecovered by 2025-08-29
straddle,0.25,0.0,-0.9502216770684643,2020-02-24,-0.9089445239973415,2020-02-24,-1.4164491874183027,2007-10-12,2008-12-04,2010-04-22,346.0,recovered
straddle,0.25,2.0,-0.9598136965825455,2020-02-24,-0.945643302385073,2020-02-24,-1.5502162310192595,2018-06-14,2020-03-16,2021-07-09,332.0,recovered
straddle,0.25,5.0,-0.9742017258536693,2020-02-24,-1.0006914699666583,2020-02-24,-2.2470022972212824,2013-04-01,2020-03-16,,,unrecovered by 2025-08-29
straddle,0.25,10.0,-0.9981817746388766,2020-02-24,-1.0924384159359821,2020-02-24,-6.831818061995758,2007-10-12,2025-04-10,,,unrecovered by 2025-08-29
straddle,0.5,0.0,-0.9530273837025727,2020-02-24,-0.9177948380478355,2020-02-24,-1.5617579797094423,2007-10-12,2008-12-04,2010-08-09,421.0,recovered
straddle,0.5,2.0,-0.9626194032166563,2020-02-24,-0.9544936164355691,2020-02-24,-1.6807993909229149,2017-11-16,2020-03-16,2021-08-02,348.0,recovered
straddle,0.5,5.0,-0.9770074324877749,2020-02-24,-1.0095417840171546,2020-02-24,-2.74097163145965,2013-04-01,2025-04-10,,,unrecovered by 2025-08-29
straddle,0.5,10.0,-1.0009874812729815,2020-02-24,-1.1012887299864733,2020-02-24,-7.764019404374102,2007-10-12,2025-04-10,,,unrecovered by 2025-08-29
straddle,0.75,0.0,-0.9558330903366814,2020-02-24,-0.9266451520983335,2020-02-24,-1.7070667720005792,2007-10-12,2008-12-04,2010-09-27,455.0,recovered
straddle,0.75,2.0,-0.9654251098507609,2020-02-24,-0.9633439304860614,2020-02-24,-1.8179155908299223,2017-11-16,2020-03-16,2022-05-25,554.0,recovered
straddle,0.75,5.0,-0.9798131391218848,2020-02-24,-1.0183920980676469,2020-02-24,-3.343614793066478,2013-04-01,2025-04-10,,,unrecovered by 2025-08-29
straddle,0.75,10.0,-1.00379318790709,2020-02-24,-1.1101390440369627,2020-02-24,-8.729439069251,2007-06-06,2025-04-10,,,unrecovered by 2025-08-29
straddle,1.0,0.0,-0.9586387969707885,2020-02-24,-0.9354954661488271,2020-02-24,-1.8523755642917274,2007-10-12,2008-12-04,2011-04-15,595.0,recovered
straddle,1.0,2.0,-0.9682308164848692,2020-02-24,-0.9721942445365566,2020-02-24,-2.005984490128953,2015-12-01,2020-03-16,,,unrecovered by 2025-08-29
straddle,1.0,5.0,-0.9826188457559912,2020-02-24,-1.0272424121181412,2020-02-24,-4.187602700300772,2007-07-18,2025-04-10,,,unrecovered by 2025-08-29
straddle,1.0,10.0,-1.0065988945411963,2020-02-24,-1.118989358087459,2020-02-24,-9.711567046919672,2007-06-06,2025-04-10,,,unrecovered by 2025-08-29
