window,ticker,arm,entry,expiration,excluded_by,truncated,return_k0_c0,return_primary,rv,k_strip,sigma_atm_squared
autumn 2008,GLD,straddle,2008-08-18,2008-09-19,,False,-1.3191027375678719,-1.3412152599349378,0.22464737367204154,0.10125369483862165,0.09014555880624998
autumn 2008,GLD,straddle,2008-09-22,2008-10-17,,False,-0.10730500465286828,-0.1336255356149599,0.23834664856520302,0.298270571671882,0.2663323734759999
autumn 2008,GLD,straddle,2008-10-20,2008-11-21,,False,0.10231574247989664,0.08049523151892224,0.20292222130249526,0.25381049419237495,0.20875578240400003
autumn 2008,GLD,straddle,2008-11-24,2008-12-19,,False,0.37570895471258203,0.3591193606766485,0.11857647736465458,0.31114142114216187,0.265236330121
autumn 2008,GLD,strip,2008-08-18,2008-09-19,,False,-1.4300593374192208,-1.4814780226380395,0.22464737367204154,0.10125369483862165,0.09014555880624998
autumn 2008,GLD,strip,2008-09-22,2008-10-17,,False,0.13861806478941788,0.09255669843463965,0.23834664856520302,0.298270571671882,0.2663323734759999
autumn 2008,GLD,strip,2008-10-20,2008-11-21,,False,0.11636398819276995,0.06789610048042315,0.20292222130249526,0.25381049419237495,0.20875578240400003
autumn 2008,GLD,strip,2008-11-24,2008-12-19,,False,0.5656396507188213,0.5277245118081509,0.11857647736465458,0.31114142114216187,0.265236330121
autumn 2008,UNG,straddle,2008-08-18,2008-09-19,,False,-0.0495870046240672,-0.0731074970444678,0.3385916242999469,0.32173986718019815,0.32071494448899995
autumn 2008,UNG,straddle,2008-09-22,2008-10-17,,False,-0.14036952785301363,-0.15965898193029718,0.28100517334973046,0.349403747300451,0.31816932422500005
autumn 2008,UNG,straddle,2008-10-20,2008-11-21,,False,-0.3036445985927846,-0.3284553425168887,0.41749668013704844,0.3226383243728365,0.33540487702224997
autumn 2008,UNG,straddle,2008-11-24,2008-12-19,,False,-0.11019316934686464,-0.13359953789824858,0.30131685947730685,0.404362245035621,0.38933044933225003
autumn 2008,UNG,strip,2008-08-18,2008-09-19,rule 2 floor,False,-0.10613040840812896,-0.1570473122960052,0.3385916242999469,0.32173986718019815,0.32071494448899995
autumn 2008,UNG,strip,2008-09-22,2008-10-17,,False,0.002780454761880523,-0.05029365557444537,0.28100517334973046,0.349403747300451,0.31816932422500005
autumn 2008,UNG,strip,2008-10-20,2008-11-21,rule 2 floor,False,-0.31947475331863934,-0.3703953658071263,0.41749668013704844,0.3226383243728365,0.33540487702224997
autumn 2008,UNG,strip,2008-11-24,2008-12-19,,False,0.11574515554942169,0.06545821233417211,0.30131685947730685,0.404362245035621,0.38933044933225003
autumn 2008,USO,straddle,2008-08-18,2008-09-19,,False,0.058948742194642995,0.04157213830767043,0.21097259698252818,0.21629796744829263,0.20929938755625002
autumn 2008,USO,straddle,2008-09-22,2008-10-17,,False,-0.3444659223317342,-0.3573258222382733,0.45141281653996135,0.3398388602503101,0.318471734889
autumn 2008,USO,straddle,2008-10-20,2008-11-21,,False,-0.39417925245770824,-0.4103817973096917,0.6991914106086806,0.481262187337879,0.4280064252840001
autumn 2008,USO,straddle,2008-11-24,2008-12-19,,False,-0.14060514901763585,-0.16064529138670028,0.6053263470795827,0.6454170032982263,0.6058084855690001
autumn 2008,USO,strip,2008-08-18,2008-09-19,,False,-0.008249789528609976,-0.04042544079981979,0.21097259698252818,0.21629796744829263,0.20929938755625002
autumn 2008,USO,strip,2008-09-22,2008-10-17,,False,-0.5689258597319596,-0.607850805800967,0.45141281653996135,0.3398388602503101,0.318471734889
autumn 2008,USO,strip,2008-10-20,2008-11-21,,False,-0.453950245939623,-0.4904496844267912,0.6991914106086806,0.481262187337879,0.4280064252840001
autumn 2008,USO,strip,2008-11-24,2008-12-19,,False,0.07741550504074435,0.0466165640144728,0.6053263470795827,0.6454170032982263,0.6058084855690001
March 2020,GLD,straddle,2020-01-21,2020-02-21,,False,0.056381795415764484,0.030111702778319642,0.011265514140742287,0.013263662611520776,0.01051434906025
March 2020,GLD,straddle,2020-02-24,2020-03-20,,False,-1.308006595985054,-1.3260390372377902,0.10036169044637372,0.033281709578263964,0.027057618064
March 2020,GLD,straddle,2020-03-23,2020-04-17,,False,0.10915999343201155,0.09698903869731078,0.08913547649781237,0.17943722485985283,0.143214562969
March 2020,GLD,strip,2020-01-21,2020-02-21,,False,0.15430446046845928,0.09982190498636422,0.011265514140742287,0.013263662611520776,0.01051434906025
March 2020,GLD,strip,2020-02-24,2020-03-20,,False,-2.4001602763483505,-2.4639914766701305,0.10036169044637372,0.033281709578263964,0.027057618064
March 2020,GLD,strip,2020-03-23,2020-04-17,,False,0.49125737445122913,0.4664220957788949,0.08913547649781237,0.17943722485985283,0.143214562969
March 2020,SLV,straddle,2020-01-21,2020-02-21,,False,-0.4369059229665204,-0.46769175163048254,0.041593660644124945,0.03426373793207052,0.0263867536
March 2020,SLV,straddle,2020-02-24,2020-03-20,,False,-0.7799351925094176,-0.794638225193613,0.493692558037214,0.07088093170869833,0.06129214275625
March 2020,SLV,straddle,2020-03-23,2020-04-17,,False,0.3517122328917128,0.3394050828912623,0.16540967180102997,0.6267904562844081,0.5422694957102501
March 2020,SLV,strip,2020-01-21,2020-02-21,rule 2 floor,False,-0.274039155826547,-0.32890927859883556,0.041593660644124945,0.03426373793207052,0.0263867536
March 2020,SLV,strip,2020-02-24,2020-03-20,rule 2 floor,False,-3.304316641557966,-3.3456669613534378,0.493692558037214,0.07088093170869833,0.06129214275625
March 2020,SLV,strip,2020-03-23,2020-04-17,,False,0.6496185822499345,0.6247523778461734,0.16540967180102997,0.6267904562844081,0.5422694957102501
March 2020,UNG,straddle,2020-01-21,2020-02-21,,False,0.24345208809105526,0.2265816991056816,0.10467610179191604,0.1666926138269514,0.16433618745599998
March 2020,UNG,straddle,2020-02-24,2020-03-20,,False,-0.8983340687999817,-0.916705252943627,0.3557218118570992,0.13460884812104804,0.13341084977025003
March 2020,UNG,straddle,2020-03-23,2020-04-17,,False,0.10543801994634833,0.08970833753882165,0.43383678768855055,0.6144486484324237,0.6336454523422499
March 2020,UNG,strip,2020-01-21,2020-02-21,rule 2 floor,False,0.3198273434275723,0.2951826543629933,0.10467610179191604,0.1666926138269514,0.16433618745599998
March 2020,UNG,strip,2020-02-24,2020-03-20,rule 2 floor,False,-1.5084108355759143,-1.5457511217007671,0.3557218118570992,0.13460884812104804,0.13341084977025003
March 2020,UNG,strip,2020-03-23,2020-04-17,rule 2 floor,False,0.2891469797503455,0.2561113173796583,0.43383678768855055,0.6144486484324237,0.6336454523422499
March 2020,USO,straddle,2020-01-21,2020-02-21,,False,-0.24306533645304712,-0.25363109518012605,0.08083423521451782,0.07930260953963413,0.059670275625
March 2020,USO,straddle,2020-02-24,2020-03-20,,False,-0.8033880244429733,-0.813095097491595,2.734144120449401,0.17439653175194894,0.16028292496225002
March 2020,USO,straddle,2020-03-23,2020-04-17,,False,0.4438744510751231,0.4351704634773584,1.1926238285684807,4.157775908061204,3.10923570650625
March 2020,USO,strip,2020-01-21,2020-02-21,rule 2 floor,False,0.08599716397431566,0.0371175874601779,0.08083423521451782,0.07930260953963413,0.059670275625
